word_id,frequency
1116,1
998,1
272,2
1450,1
1998,1
547,1
2332,1
2086,1
1393,1
2253,1
2185,1
1913,1
1165,1
1122,1
2385,1
1652,1
390,1
238,1
2316,1
2139,1
2702,1
1356,1
1854,1
911,1
799,1
1100,1
1225,1
1494,1
782,1
1859,1
1855,1
1904,1
1774,1
2494,1
2210,1
2320,1
2737,1
1548,1
2430,1
292,1
2732,1
198,1
2165,1
1888,1
236,1
2383,1
986,1
1069,1
1997,1
1470,1
666,1
2577,1
589,1
175,1
622,1
2089,1
496,1
2693,1
1039,1
1024,1
2558,1
484,1
1813,1
629,2
615,1
355,1
470,1
1818,1
207,1
2203,1
2738,2
1420,1
1386,1
2666,1
550,1
2682,2
977,1
625,1
2290,1
378,1
1794,1
1664,1
508,1
1728,1
1090,1
1241,1
2375,1
226,1
1058,1
419,1
2434,1
17,1
169,1
2111,1
2128,1
2555,1
499,1
1973,1
393,1
408,1
774,2
1031,1
935,1
2535,1
56,1
1385,1
981,1
2014,1
889,1
2035,1
2697,1
1647,1
1035,2
1032,1
1358,1
842,1
1233,1
2271,1
2305,1
344,1
108,1
63,1
335,1
1340,1
2096,1
1916,1
612,2
2591,1
518,1
838,2
2180,1
1339,1
787,1
1711,1
1475,1
1884,1
1953,1
1343,1
2033,1
1925,1
1729,1
2368,1
624,1
1326,1
217,1
2575,1
2289,1
163,1
1047,1
1500,1
1634,1
2451,1
731,1
725,1
1030,1
1501,1
2069,1
2213,1
1283,2
1602,1
2490,1
1022,1
502,1
1588,1
587,1
976,2
1217,2
69,1
1175,1
1944,1
1887,1
168,1
1546,1
1826,1
330,1
368,1
1180,1
807,1
446,1
105,1
1575,1
1768,1
224,1
579,1
1874,1
473,1
670,1
2108,1
931,1
279,1
1267,1
1062,1
2007,1
1142,1
50,1
2678,1
87,1
273,1
2018,1
1572,1
340,1
1843,1
1505,1
1169,1
2447,1
2499,1
82,1
1247,1
2612,1
1856,1
578,1
1254,1
2582,1
1889,1
1934,1
649,1
2000,1
2036,1
1176,1
2541,1
1194,1
1492,1
1435,1
2274,1
2742,1
2475,1
595,1
1312,1
1125,1
133,1
619,1
1099,1
2323,1
2085,1
2485,1
713,1
2438,1
58,1
2527,1
809,1
1244,1
1082,1
1202,1
2392,1
500,1
815,1
106,1
444,1
2369,1
1571,1
1556,1
2452,1
126,1
1412,1
255,1
2439,1
813,1
2367,1
2226,1
62,1
1927,1
910,1
640,1
1411,1
1284,1
795,1
1174,1
667,1
2602,1
234,1
1705,1
220,1
582,1
2205,1
1807,1
753,1
194,1
2352,1
1113,1
2726,1
6,1
771,1
2413,1
892,1
136,1
570,1
398,1
2071,1
1707,1
1586,1
1747,1
1842,1
693,1
305,1
2509,1
1486,1
1466,1
647,1
1263,1
638,1
2100,1
1540,1
978,1
233,1
1908,1
2019,1
780,1
29,1
396,1
1683,1
1130,1
2469,1
334,1
13,1
1249,1
253,1
776,1
866,1
66,1
76,1
632,1
2479,1
2744,1
1163,1
1718,1
327,1
154,1
1742,1
412,1
811,1
653,1
2609,1
88,1
1246,1
509,1
350,1
1239,1
943,1
