article_id,word_id,tf_idf
0,1116,1.0
0,998,1.0
0,272,0.5
0,1450,1.0
0,1998,1.0
0,547,2.0
0,2332,5.0
0,2086,1.0
0,1393,4.0
0,2253,1.0
0,2185,1.0
0,1913,4.0
0,1165,1.0
0,1122,1.0
0,2385,1.0
0,1652,1.0
0,390,1.0
0,238,1.0
0,2316,1.0
0,2139,1.0
0,2702,6.0
0,1356,1.0
0,1854,2.0
0,911,10.0
0,799,1.0
0,1100,1.0
0,1225,1.0
0,1494,1.0
0,782,1.0
0,1859,1.0
0,1855,2.0
0,1904,9.0
0,1774,3.0
0,2494,2.0
0,2210,1.0
0,2320,1.0
0,2737,1.0
0,1548,1.0
0,2430,1.0
0,292,1.0
0,2732,1.0
0,198,1.0
0,2165,1.0
0,1888,1.0
0,236,2.0
0,2383,2.0
0,986,1.0
0,1069,1.0
0,1997,2.0
0,1470,3.0
0,666,1.0
0,2577,1.0
0,589,1.0
0,175,1.0
0,622,1.0
0,2089,1.0
0,496,1.0
0,2693,1.0
0,1039,1.0
0,1024,3.0
0,2558,2.0
0,484,2.0
0,1813,4.0
0,629,0.5
0,615,1.0
0,355,1.0
0,470,2.0
0,1818,2.0
0,207,2.0
0,2203,1.0
0,2738,1.0
0,1420,1.0
0,1386,1.0
0,2666,1.0
0,550,1.0
0,2682,0.5
0,977,1.0
0,625,1.0
0,2290,1.0
0,378,1.0
0,1794,1.0
0,1664,1.0
0,508,1.0
0,1728,1.0
0,1090,1.0
0,1241,1.0
0,2375,1.0
0,226,1.0
0,1058,1.0
0,419,1.0
0,2434,1.0
0,17,1.0
0,169,1.0
0,2111,1.0
0,2128,1.0
0,2555,1.0
0,499,1.0
0,1973,1.0
0,393,1.0
0,408,1.0
0,774,0.5
0,1031,1.0
0,935,1.0
0,2535,1.0
0,56,1.0
0,1385,1.0
0,981,2.0
0,2014,2.0
0,889,1.0
0,2035,1.0
0,2697,2.0
0,1647,1.0
0,1035,1.0
0,1032,1.0
0,1358,1.0
0,842,1.0
0,1233,1.0
0,2271,1.0
0,2305,1.0
0,344,1.0
0,108,1.0
0,63,1.0
0,335,1.0
0,1340,1.0
0,2096,1.0
0,1916,1.0
0,612,0.5
0,2591,1.0
0,518,1.0
0,838,0.5
0,2180,1.0
0,1339,1.0
0,787,1.0
0,1711,1.0
0,1475,1.0
0,1884,1.0
0,1953,1.0
0,1343,1.0
0,2033,1.0
0,1925,1.0
0,1729,1.0
0,2368,1.0
0,624,1.0
0,1326,2.0
0,217,1.0
0,2575,1.0
0,2289,2.0
0,163,2.0
0,1047,1.0
0,1500,1.0
0,1634,1.0
0,2451,1.0
0,731,1.0
0,725,1.0
0,1030,1.0
0,1501,1.0
0,2069,1.0
0,2213,1.0
0,1283,0.5
0,1602,1.0
0,2490,1.0
0,1022,1.0
0,502,1.0
0,1588,1.0
0,587,1.0
0,976,0.5
0,1217,0.5
1,69,12.0
1,1175,1.0
1,1944,3.0
1,1887,1.0
1,168,2.0
1,1546,2.0
1,1826,1.0
1,330,1.0
1,368,1.0
1,1180,2.0
1,807,1.0
1,446,1.0
1,105,1.0
1,1575,1.0
1,1768,1.0
1,224,1.0
1,579,2.0
1,774,0.5
1,2738,0.5
1,1874,2.0
1,473,1.0
1,670,1.0
1,2108,2.0
1,931,1.0
1,279,1.0
1,1267,2.0
1,1062,5.0
1,2007,1.0
1,1142,2.0
1,50,1.0
1,2678,1.0
1,87,1.0
1,273,1.0
1,2018,2.0
1,1572,2.0
1,340,1.0
1,1843,1.0
1,1505,2.0
1,1169,1.0
1,2447,2.0
1,2499,1.0
1,82,1.0
1,1247,1.0
1,2612,1.0
1,1856,1.0
1,578,1.0
1,1254,1.0
1,2582,2.0
1,1889,1.0
1,1934,2.0
1,649,1.0
1,2000,1.0
1,2036,1.0
1,1176,1.0
1,2541,1.0
1,1283,0.5
1,1194,1.0
1,1492,1.0
1,1435,1.0
1,2274,1.0
1,2742,1.0
1,2475,1.0
1,595,1.0
1,1312,1.0
1,1125,1.0
1,133,1.0
1,619,1.0
1,1099,2.0
1,2323,1.0
1,2085,1.0
1,2485,1.0
1,713,1.0
1,2438,1.0
1,58,1.0
1,2527,1.0
1,809,1.0
1,1244,1.0
1,1082,1.0
1,1202,1.0
1,2392,2.0
1,500,1.0
1,815,1.0
1,106,1.0
1,444,1.0
1,2369,1.0
1,1571,1.0
1,1556,1.0
1,2452,1.0
1,126,2.0
1,1412,2.0
1,255,1.0
1,2439,1.0
1,813,1.0
1,2367,1.0
1,2226,1.0
1,62,1.0
1,1927,1.0
1,910,1.0
1,640,1.0
1,1411,1.0
1,1284,1.0
1,795,3.0
1,1174,1.0
1,667,1.0
1,2602,1.0
1,234,1.0
1,1705,1.0
1,220,1.0
1,582,1.0
